serial_no,h1_cd,h2_cd,h3_cd,td_desc,mark_id_char
87650870,5,511,51102,"the mark consists of a purple outline drawing of an onion with an open space on the left side.  scallions; garlic; leeks; onions, leaks, spring onions",
87650948,28,2801,280107,  hebrew; hebrew characters,
87651489,"13,26","13,012,615","130,105,130,125,261,000","the mark consists of a three-dimensional configuration comprising a stylized novelty motion lamp.  sconces (lamps); pole lamps; nightlights; lava lamps; chandeliers    other lighting equipment    polygons (plain, single line); plain single or multiple line polygons",
87651824,"01,07,26","115,070,126,092,611","11,518,070,106,260,900,000,000,000,000","the mark consists of a design of a stylized house with a diamond shaped design below. the color white is not a part of the mark and merely represents background or transparent areas.  teardrops (more than a single drop); raindrops (more than a single drop); multiple drops (rain, tear, etc.); more than one drop including teardrops or raindrops    other houses    two squares; squares,  exactly two squares    squares that are completely or partially shaded    rectangles that are completely or partially shaded",
87652495,3,315,31509,the mark consists of a stylized pelican in profile.  gulls; pelicans; seagulls; other sea birds    stylized birds,
87652539,26,"26,112,617","261,121,261,701,261,000,000,000","the mark consists of a vertical rectangle block with a dark shaded four-sided triangular shaped interior area with an angled side. a lighter shaded four-sided triangular shaped interior area with an angled side is on the right hand side of the rectangle. three lines extend from the left side into the lighter shaded area.  rectangles that are completely or partially shaded    straight line(s), band(s) or bar(s); lines, straight; bars, straight; bands, straight    lines, horizontal; horizontal line(s), band(s) or bar(s); bands, horizontal; bars, horizontal    lines, diagonal; bars, diagonal; diagonal line(s), band(s) or bar(s); bands, diagonal",
87653977,"01,16,24,26","115,160,324,212,601","11,508,160,306,242,100,000,000,000,000","the mark consists of a map pin with concentric dashed circles surrounding a magnifying glass in the center of the map pin.  teardrop (a single drop); single drop (rain, tear, etc.); raindrop (a single drop)    magnifying glasses; loupes, jeweler's (magnifiers); jeweler's loupes (magnifiers); glasses, magnifying    pins, arrows, flags, and other markers denoting electronic mapping, location, and navigation; navigation and locator marker symbols used in electronic mapping; map pin and flag symbols used in electronic navigation    incomplete circles (more than semi-circles); circles, incomplete (more than semi-circles)    concentric circles, three or more; three or more concentric circles; circles, three or more concentric",
87654472,"05,25","5,152,501","51,502,250,125","the mark consists of a stylized rectangle, broken in the middle, with a black outline, then a red outline, then a yellow outline and then a white outline; displayed within the top portion of the broken rectangle appears an intricate interwoven pattern, red, white and black in color; displayed within the bottom portion of the broken rectangle appears a red, black and white garland design with grains on the left and right side of the garland. the foregoing is appears over a gray background which color is not claimed as a feature of the mark.  wreaths; laurel leaves or branches (borders or frames)    other framework and ornamental borders; borders, ornamental",
87655018,28,2801,280103,  japanese characters; japanese and chinese characters; chinese characters,
87655196,2,"2,010,211","20,126,021,102","the mark consists of two shaded circles and enclosed by a curved shape with a narrowed center.  men, mechanical men, robots; robots (men)    human eyes; eyes, human; iris (eye)",
87657649,26,2601,"260,103,260,120,260,000","the mark consists of a stylized image of a solid circle with a tail arcing from the top of the solid circle, with the terminus of the tail forming a point, with two concentric semicircles emanating from the same point as the terminus of the tail and partially surrounding the solid circle.  incomplete circles (more than semi-circles); circles, incomplete (more than semi-circles)    circles within a circle    circles that are totally or partially shaded.",
87658032,"18,29","1,811,290,229,032,900","181,125,290,207,290,000,000,000","the mark consists of color orange, being near to or about the pantone matching system (""pms"") orange colors of orange 021, applied to the key cap used in the identified key operated locker systems. the matter shown in broken or dotted lines in the nature of the configuration of the goods serves to show the placement or position of the mark and is not part of the mark.  windshields (vehicular); stick shifts (automobile); battery carrier trays for automobiles; belts, safety, vehicle; seat belts, vehicle; sails; radiators, vehicle; racks, (automobile); porthole; pedals (vehicular); mirrors, vehicle; lights, bicycle; lights, auto; license plates; kick stands (bicycle); jacks (vehicle); horns (vehicular); hitches, (trailers); head lights, vehicle; grills (automobile); gear shifts, vehicle; clutches, vehicles; car seats, baby; brakes (automobile)    orange (single color used for the entire goods/services)    orange (single color used on a portion of the goods)    orange (single color used on packaging, labels or signs)",
87658173,"12,26","12,012,603","120,108,260,321","the mark consists of a three-dimensional configuration of a white floating rectangular shelf with a flat bottom and top with a back and with curved ends. the broken lines depicting the front and back flat portions of the shelf and the back of the shelf itself indicate placement of the mark on the goods and are not part of the mark.  work benches; storage cabinets; shelves; record cabinets; phonograph record cabinets; medicine cabinets; gun cabinets; file cabinets; dressers; drawers (chests); curio cabinets; cupboard; counters, store; china cabinets; chests, medicine; chests, bedroom; cabinets, medicine; cabinets, kitchen; cabinets, gun; cabinets, file; cabinets, bathroom; bookcase; book shelves; benches, work; bathroom articles, cabinets    ovals that are completely or partially shaded",
87659026,"03,24","3,212,413","32,101,241,302","the mark consists of the outline of a cross with a caduceus in the center.  caduceus; serpent and staff; rod of asclepius; staff of hermes    greek cross (equal sized lines); cross, greek (equal sides)",
87659070,9,903,90309,"the mark consists of a specific design feature used within a three-dimensional configuration of athletic compression footwear. the design feature consists of an alternating color pattern of equally-spaced substantially continuous spiral lines traveling down the footwear proximate an open leg end towards a toe end. the design feature is limited to the alternating and contrasting dark and light colors of the stitching and not the configuration of the stitching on the footwear. the matter shown in dashed lines is not part of the mark, and serves only to show the position or placement of the mark on the goods.  tights; stockings; socks; garter belts; leg warmers; hosiery; panty hose",
87661437,"17,26","17,072,605","170,705,260,515,260,000,000,000","the mark consists of a stylized image of a compass with the northern orientation pointing slightly to the left, and the needle of the compass pointing slightly to the right, and the face of the compass is a mosaic of differing shapes.  directional compasses, including mariner's compasses and compass points; compasses (directional)    triangles four or more; four or more triangles    triangles touching or intersecting    triangles that are completely or partially shaded",
87661538,"11,26","110,326,052,615","110,315,260,513,260,000,000,000","the mark consists of two triangles and a rhombus, with the two triangles put at the upper left and upper right of the rhombus; the four corners of the rhombus are curved and there is a hollowed wine-cup pattern within the rhombus.  wine glasses; stemware (glasses); goblets; glasses with stems; champagne glasses    two triangles; triangles,  exactly two triangles    triangles that are completely or partially shaded    polygons that are completely or partially shaded",
87662468,19,1909,190903,"the mark consists of a three-dimensional configuration of design feature of a bottle, namely, a leather strap secured around the neck of a bottle. the broken lines depicting the snap fastener and the bottle indicate placement of the mark on the goods and are not part of the mark.  jars with straight or vertical sides; bottles, jars or flasks with straight, vertical sides; flasks with straight or vertical sides",
87662696,"07,15","7,111,505","71,125,150,504","the mark consists of a three-dimensional configuration of a charging station for electric vehicles. the charging station is rectangular in shape with curved corners and a rectangular frame on the front for a content display screen for displaying video content, such as advertisements. the top and bottom sides of the rectangular frame are curved. the content display screen, stand and charging cable are shown in dashed lines and are not claimed as part of the mark.  water pumps (manual), outdoor; piers; parking meters; meters, parking; manhole covers; guard rails, road; grates, street; docks    video game players with screens, handheld; handheld video game players; digital music players; mp3 players; tablet computers, handheld; pda (personal digital assistant)",
87662716,"07,15,26","71,115,052,611","71,125,150,504,261,100","the mark consists of a three-dimensional configuration of a charging station for electric vehicles. the charging station is rectangular in shape with curved corners and a rectangular frame on the back for a content display screen for displaying video content, such as advertisements. the content display screen encompasses most of the back of the charging station, and the top and bottom sides of the rectangular frame are wider than the left and right sides. the content display screen, stand and charging cable are shown in dashed lines and are not claimed as part of the mark.  water pumps (manual), outdoor; piers; docks; grates, street; guard rails, road; manhole covers; meters, parking; parking meters    video game players with screens, handheld; pda (personal digital assistant); tablet computers, handheld; mp3 players; digital music players; handheld video game players    rectangles (single line); plain single line rectangles",
87662977,12,1201,120108,"the mark consists of a three-dimensional configuration of a guitar display rack. the broken lines depicting the base, the back, the horizontal cross bars of the display rack, as well as the bars featuring the holders for the guitars indicate placement of the mark on the goods and are not part of the mark.  work benches; bathroom articles, cabinets; shelves; record cabinets; phonograph record cabinets; medicine cabinets; gun cabinets; file cabinets; dressers; drawers (chests); curio cabinets; cupboard; counters, store; china cabinets; chests, medicine; chests, bedroom; cabinets, medicine; cabinets, kitchen; cabinets, gun; cabinets, file; cabinets, bathroom; bookcase; book shelves; benches, work; storage cabinets",
87663084,"06,18,26","60,918,072,607","60,906,180,713,260,700","the mark consists of a diamond shape containing a drawn image of a fishing boat appearing in front of a drawn image of a snow capped mountain.  snow-covered landscape; polar scenery; icebergs    tugboats; other motor boats, including tugboats and ferry boats; fishing boats; ferry boats    diamonds that are completely or partially shaded",
87664151,"01,05","1,010,505","10,103,050,525",the mark consists of a flower like design that contains a star at the center of the mark.  star a single star with five points    iris  (flower); daffodils; other flowers,
87665129,"25,26","2,503,260,126,032,610","250,304,250,325,260,000,000,000,000,000,000,000,000,000","the mark consists of ovals separated by a pattern of continuous lines made up of small dots applied to the entire surface of a dress which is shown in broken lines to indicate that the dress is not a part of the mark and serves only to show the placement of the mark on the goods.  backgrounds covered with circles or ellipses    repetitive designs, words, or letters as a background; backgrounds covered with other figurative elements or repetitive designs, words or letters    five or more circles; circles five or more    ovals made of broken or dotted lines    three or more ovals; ovals, three or more    ovals that are completely or partially shaded    lines, dotted; dotted line(s)",
87666402,17,1703,"170,302,170,325","the mark consists of a three-dimensional configuration of jewelry. the elements of the mark consist of a hand-drawn frame in an inverted kite shape. the inner side of the frame follows a smooth and consistent line, with rounding at each of the shape's points. on the long sides of the kite shape, the thickness of the frame widens and narrows to make a pattern of 3 rounded peaks. the bottom point of the kite shape has a rounded point on either side. the frame is impressed along its entire length with a pattern of double marquis-shaped indentations. the marquis impressions vary in size to fill the entire width of the frame at each rounded point. the matter shown in broken lines is not part of the mark and serves only to show the position or placement of the mark.  bracelets; chokers (jewelry); necklaces; chains, jewelry; dog tags (military identification); tags, identification (metal)    cuff-links; earrings; locket; necktie clasps and fasteners; pins, jewelry; brooches; tie tacks",
87666944,2,201,20126,"the mark consists of a stylized design of the head of a robot.  men, mechanical men, robots; robots (men)",
87667334,"11,17","11,011,701","110,106,170,105","the mark consists of a stylized design of an hour glass.  strainers (food); sifters (food); sieves (food); funnels (kitchen); filters, coffee; colanders    hourglasses",
87667837,1,"1,070,117","10,702,011,711","the mark consists of an image of the state of georgia with a globe over the center right of the state.  globes with meridians and parallels only    maps of states of the united states, excluding texas",
87668096,"02,07,19,23","20,102,070,209,070,100,000,000","20,131,020,701,020,900,000,000,000,000,000,000","the mark consists of a house with three handymen working inside attached to the barrel of a cannon.  men, stylized, including men depicted in caricature form    groups, males    humans, including men, women and children, depicted engaged in other work; humans engaged in other work    detached house    drums (barrels); barrels    mortars; cannons",
87669213,26,"26,012,609","260,116,260,131,260,000,000,000","the mark consists of a design consisting of nine circles stacked on top of each other in three horizontal rows forming an incomplete square, with the top right circle elevated above and to the right of the other circles.  circles touching or intersecting    five or more circles; circles five or more    squares, incomplete; incomplete squares    squares made of geometric figures, objects, humans, plants or animals",
87669347,"26,28","26,012,801","260,121,280,103","the mark consists of two sets of two chinese characters. all four chinese characters are written in a font called ""simplified zhuan"" which mimics a traditional zhuan font.  circles that are totally or partially shaded.    chinese characters; japanese and chinese characters; japanese characters",
87669667,26,"26,012,617","260,101,260,126,261,000,000,000","the mark consists of a circle with a swirl inside the circle connecting the circle to a straight vertical line inside the circle.  circles as carriers or as single line borders    swirls; spirals; coils    straight line(s), band(s) or bar(s); lines, straight; bands, straight; bars, straight    vertical line(s), band(s) or bar(s); bars, vertical; lines, vertical; bands, vertical",
87670191,"05,24,26","50,105,030,505,241,500,000,000","50,104,050,308,050,300,000,000,000,000,000,000,000,000,000,000,000,000","the mark consists of a lotus flower positioned above a horizontal vine, where the lotus flower has three sets of five circles of decreasing size emanating above it-one set above the left outermost petal, one set above the right outermost petal, and one set above the center. the horizontal vine has a set of three leaves on each end. there are three vines in the shape of overlapping half circles positioned underneath the horizontal vine, where the outermost two half circles have a set of three leaves on the end that extend above the horizontal vine and each set of three leaves has a set of three circles decreasing in size emanating above it, and the half circle vine located centrally under the lotus flower has a ring with an arrow pointing downward below it.  vines    more than one leaf, including scattered leaves, bunches of leaves not attached to branches    other leaves; leaf, single    lotus flower    arrows forming any other geometric figure    circles that are totally or partially shaded.    five or more circles; circles five or more    straight line(s), band(s) or bar(s); lines, straight; bars, straight; bands, straight    lines, horizontal; horizontal line(s), band(s) or bar(s); bars, horizontal; bands, horizontal",
87670607,19,1909,190906,"the mark consists of three-dimensional configuration of the packaging for the goods comprised of a bottle design with dome-shaped shoulders characterized by an oval indentation on the upper half and side of the bottle. the broken lines indicate placement of the mark on the goods and are not part of the mark.  jars with ribbing or other surface relief; bottles, jars or flasks with ribbing or other surface relief; flasks with ribbing or other surface relief",
87670804,"24,26","24,172,603","241,718,260,317,260,000","the mark consists of a design of a broken yin yang symbol in the colors red and blue against a white background enclosed within an oval outlined in 2 black lines.  yin-yang symbol    ovals, concentric; ovals within ovals; concentric ovals and ovals within ovals; concentric ovals    ovals that are completely or partially shaded",
87671018,19,1905,190507,"the mark consists of a three-dimensional configuration of the outer edges of a burial vault lid, said lid featuring three concentric rectangles, with the smallest rectangle on top. the broken lines depicting the rectangular base and decoration indicate placement of the mark on the goods and are not part of the mark.  casket; coffins",
87671423,26,2603,"260,314,260,316,260,000","the mark consists of three oval shapes that are all in the shape of a circle.  three or more ovals; ovals, three or more    ovals touching or intersecting    ovals that are completely or partially shaded",
87671446,26,2603,"260,314,260,316,260,000","the mark consists of three oval shapes in the colors light green, yellow and royal blue that are all in the shape of a circle.  three or more ovals; ovals, three or more    ovals touching or intersecting    ovals that are completely or partially shaded",
87671858,3,317,31701,"the mark consists of two outstretched wings pointed upward.  bird wings shown alone or as part of something other than associated animal; wings of birds, shown alone or as part of something other than associated animal",
87671860,3,317,31701,"the mark consists of blue, red, orange, and yellow rows of feathers forming two outstretched wings. the outer edges of each wing is outlined in yellow.  bird wings shown alone or as part of something other than associated animal; wings of birds, shown alone or as part of something other than associated animal",
87673199,14,1403,140325,"the mark consists of a three-dimensional configuration of a holder that appears in a vertical rectangular shape with 5 vertical rows of circular holes, the outside holes being smaller and gradually getting bigger to the largest inside row.  the two outside rows have 7 holes, the next line has 6 and the innermost row has 7 vertical circular holes.  the broken lines depicting a hook indicate placement of the mark on the goods and are not part of the mark.  nozzles, hose; brackets, fixture; hooks, utility (hardware); magnets",
87673703,22,2201,"220,107,220,125","the mark consists of a three dimensional configuration of a shoulder rest for violin or viola, specifically, a curved rest in black with elevated gold endpieces, which secure the violin or viola in place. the broken lines depicting three dimensional configuration of a shoulder rest for violin or viola indicate placement of the mark on the goods and are not part of the mark.  harp; mandolins; violins; autoharps; fiddles (musical instrument)    drumsticks (musical instrument); conductor's wands, batons; bows, violin; harmonicas; instrument cases (musical); music stands; batons, orchestra conductor's; wands, conductors' and magicians'; picks, guitar",
87674176,26,"26,052,617","260,513,260,528,261,000,000,000","the mark consists of a three-dimensional configuration of support feet on a barrier with a triangular shape and narrowing towards a distal, rounded edge. the broken lines depicting other parts of the barrier indicate placement of the mark on the goods and are not part of the mark.  two triangles; triangles,  exactly two triangles    triangular shape (miscellaneous overall shape); miscellaneous designs with overall triangular shape    straight line(s), band(s) or bar(s); lines, straight; bands, straight; bars, straight    lines, horizontal; bars, horizontal; horizontal line(s), band(s) or bar(s); bands, horizontal",
87674215,"14,26","14,032,609","140,325,260,902","the mark consists of a three-dimensional configuration of a cap on an interlocking connector with 3 bulbs at the top and two vertical openings down the center. the matter shown in broken or dotted lines is not part of the mark and serves only to show the position or placement of the mark.  nozzles, hose; magnets; hooks, utility (hardware); brackets, fixture    squares, plain single line; plain single line squares",
87675212,"02,09,26","20,109,052,601","20,102,020,137,090,500,000,000","the mark consists of a silhouette of a human figure resembling a spy wearing a hat surrounded by a circle.  silhouettes of men; men depicted as shadows or silhouettes of men    portraiture of men in profile; men heads, portraiture, or busts in profile; busts of men in profile; heads of men in profile    men's narrow-brimmed hats, including fedoras and derbies    circles as carriers or as single line borders",
87675397,"18,28","18,072,801","180,703,280,103","the mark consists of two stylized chinese characters.  junks, chinese (boats); viking boats, ancient sailing vessels, chinese junks, boats with single square sail    chinese characters; japanese and chinese characters; japanese characters",
87675529,"11,26","110,126,032,605","110,101,260,302,260,000,000,000,000,000,000,000","the mark consists of overlapping triangles, further composed of miniature triangles, outlining a white oval center in the shape of a spoon, wherein the square shape surrounding the white oval center is blue, and the tips of the triangles are alternatively green and red.  spoons    plain single line ovals; ovals, plain single line    triangles, plain single line; plain single line triangles    triangles four or more; four or more triangles    triangles touching or intersecting    triangles that are completely or partially shaded",
87675545,18,1803,180305,"the mark consists of a white stylized shopping cart design set against a red and blue background with the right side of the background in red and the left side in blue.  shopping carts; carts, grocery; carts, shopping; grocery carts",
87675765,26,2615,261501,the mark consists of a design of a shaded parallelogram with two lines comprising the bottom angle being of equal length and the four lines comprising the top of the shape being of unequal lengths. there is an indented section of line on the top left of the shape.  polygons as carriers or as single or multiple line borders,
87676840,3,301,"30,111,030,116,030,100","the mark consists of a stylized fox face design divided into two halves vertically with the right half of the face being blue and white and the left half of the face being black and white.  foxes    stylized felines, including cats of any size    stylized dogs, wolves, and foxes    costumed felines and those with human attributes, including cats of all sizes",
87677783,"21,26","210,126,012,619","210,108,260,121,261,000","the mark consists of a shaded sphere surrounded by three interconnected puzzle pieces where a disconnected puzzle piece appears to the top and left of the design.  puzzles, jigsaw; jigsaw puzzle    circles that are totally or partially shaded.    spheres (geometric)",
87677987,"02,26","2,112,605","21,107,260,503,260,500","the mark consists of three stick hands pointing inward forming an equilateral triangle.  human hands, fingers, arms; hands; fingers; arms    triangle, incomplete (two angles); incomplete triangles (must have two angles)    triangles made of geometric figures, objects, humans, plants or animals",
87678217,"02,24,26","20,124,172,601","20,126,241,714,260,100,000,000","the mark consists of two brackets with two dots for eyes between the brackets that resembles a robot head.  men, mechanical men, robots; robots (men)    exclamation points (!Â¡); diacritical marks; question marks (?); punctuation marks; commas; ampersands (&); at symbol (@); brackets, punctuation    two circles; circles, two (not concentric)    circles that are totally or partially shaded.",
87678405,19,1909,190902,"the mark consists of a unique three-dimensional design of a bottle and stopper featuring a short bottle neck that tapers outward to a flat-sided squat vessel with rounded shoulders and a rectangular base and having rounded corners.  jars with bulging or protruding sides; bottles, jars or flasks with bulging, protruding or rounded sides; flasks with bulging or protruding sides",
87678941,"14,26","141,126,012,617","141,108,260,101,260,000,000,000,000,000","the mark consists of a circle carrier featuring a stylized lock comprised of a semicircle above three stacked horizontal lines, where all of the foregoing is created by negative space. the color white represents transparent background and is not claimed as a feature of the mark.  padlocks; locks, combination; locks and key holes; padlocks; combination locks; locks    circles as carriers or as single line borders    semi-circles; circles, semi    circles that are totally or partially shaded.    lines, horizontal; horizontal line(s), band(s) or bar(s); bars, horizontal; bands, horizontal",
87679588,3,321,"32,107,032,124","the mark consists of a shadow of a turtle lifting his head.  turtles; terrapins; tortoises    stylized amphibians and reptiles, including frogs, snakes, lizards, and turtles",
87679633,19,1909,190902,"the mark consists of a three-dimensional configuration of packaging for the goods. the configuration is comprised of a bottle with cap that together adopt the shape of a pili nut. to evoke the tapered ends of the pili nut, the cap tapers inward from the base of the cap to a point near the top of the cap, from which the cap tapers outward again to the top of the cap, which is flat. the broken line depicting the point where the cap meets the bottle indicates the functional portion of the mark that is not claimed as a feature of the mark.  jars with bulging or protruding sides; bottles, jars or flasks with bulging, protruding or rounded sides; flasks with bulging or protruding sides",
87679893,"01,16,25,26","1,011,601,250,326,150,000","10,114,160,108,250,300,000,000,000,000,000,000,000,000,000,000,000,000","the mark consists of a repeating pattern of intersecting horizontal, vertical and diagonal zig-zag lines forming in some places a six pointed star and in other places a six sided polygon, the design covering the interior surface a phone case. the matter shown in broken lines is not claimed as a feature of the mark, but merely shows the pattern's placement on the goods.  stars multiple stars with six points    cellular phones; mobile phones; telephones; walkie-talkies    repetitive designs, words, or letters as a background; backgrounds covered with other figurative elements or repetitive designs, words or letters    more than one polygon    polygons touching or intersecting    polygons that are completely or partially shaded    straight line(s), band(s) or bar(s); bands, straight; bars, straight; lines, straight    vertical line(s), band(s) or bar(s); lines, vertical; bars, vertical; bands, vertical    bars, horizontal; horizontal line(s), band(s) or bar(s); lines, horizontal; bands, horizontal",
87679911,"25,26","25,032,611,261,526,100,000","250,325,261,121,261,000,000,000,000,000,000,000,000,000,000,000,000,000","the mark consists of a repeating pattern of three dimensional cubes filled with parallel lines that are angled in different directions, the pattern covering the interior surface a phone case. the matter shown in broken lines is not claimed as a feature of the mark, but merely shows the pattern's placement on the goods.  backgrounds covered with other figurative elements or repetitive designs, words or letters; repetitive designs, words, or letters as a background    rectangles that are completely or partially shaded    more than one polygon    polygons touching or intersecting    polygons that are completely or partially shaded    bars, straight; lines, straight; straight line(s), band(s) or bar(s); bands, straight    vertical line(s), band(s) or bar(s); lines, vertical; bars, vertical; bands, vertical    lines, horizontal; horizontal line(s), band(s) or bar(s); bars, horizontal; bands, horizontal    cubes (geometric)",
87680031,"26,28","2,603,260,726,172,800","260,304,260,312,260,000,000,000,000,000,000,000","the mark consists of a mixture of two icelandic runes, symbolizing youth and authenticity.  ovals with two breaks or divided in the middle    ovals with bars, bands and lines    incomplete diamonds or divided in the middle; diamonds, incomplete or divided in the middle    bars, straight; lines, straight; straight line(s), band(s) or bar(s); bands, straight    vertical line(s), band(s) or bar(s); lines, vertical; bars, vertical; bands, vertical    inscriptions in other non-latin characters, including hieroglyphic characters; inscriptions in other non-latin characters; hieroglyphic characters",
87680636,2,"2,030,209","20,302,020,904","the mark consists of a linear silhouette of a seated woman with one hand on her head and the other on her knee.  silhouettes of women; women depicted as shadows or silhouettes of women    kneeling, humans; humans, including men, women and children, depicted sitting or kneeling; sitting, humans",
87681032,26,"26,012,617","260,103,261,712","the mark consists of a broken circle encompassing two chevrons opening to the left.  incomplete circles (more than semi-circles); circles, incomplete (more than semi-circles)    chevrons; angles (geometric)",
87681091,"03,19","32,319,091,911","32,307,190,925,191,100","the mark consists of a three-dimensional configuration of a bottle and a dispensing cap, with the dispensing cap having the general shape of a bee skep. the broken lines depicting the bottle shape indicate placement of the mark on the goods and are not part of the mark. the broken lines shown on the top of the dispensing cap indicate placement of the mark on the goods and placement of a logo and are not part of the mark. the stippling or vertical lines on the dispensing cap represent dimension and are not claimed as a feature of the mark.  beehives; honeycombs    other bottles, jars or flasks    caps, bottle; corks (bottle stoppers); lids; bottle caps; stoppers, bottle",
87681094,"03,19","3,231,911","32,307,191,101","the mark consists of a three-dimensional configuration of a dispensing cap specially adapted to be affixed to a cough medicine bottle and with the dispensing cap having the general shape of a bee skep. the broken lines present on inside of the dispensing cup are not part of the mark. the broken lines shown on the outside rim of the dispensing cap indicates placement of the mark on the goods and are not part of the mark. the stippling or vertical lines on the dispensing cap represent dimension and are not claimed as a feature of the mark.  honeycombs; beehives    corks (bottle stoppers); caps, bottle; bottle caps; stoppers, bottle; lids",
87682197,7,701,70110,"the mark consists of a three-dimensional configuration of the bottom portion of a non-metal cat house in the form of a generally round capsule with a flat end. the top of the bottom portion of the cat house is angled outward. the middle of the bottom section of the cat house is relatively straight, and the lowest portion has rounded edges and is flat in the center of the very bottom part. the dash-dash lines representing an arched doorway are used merely to help show the position or placement of the mark and are not part of the mark. the dash-dash lines depicting the lid are used merely to show position and placement of the mark but are not part of the mark. the dash-dot lines in the drawing are used merely to show dimension and contouring of the goods.  pens, animal; kennels, pet; cabinets, wall; cages/pens, other animal; dog houses",
87682279,19,"19,071,911","190,725,191,101","the mark consists of a three-dimensional contoured configuration of the packaging for the goods, namely, a red cap and a white somewhat cylindrical container with rounded corners and edges, having side panels wider than the front and back panels; the side panels are generally flat and the front and back panels are generally convex; the neck of the container is angled toward the front panel and mates with the cap; though the color red on the bottle cap is claimed as a feature of the mark, the bottle cap itself is shown in broken lines and is not part of the mark; the gray portions of the mark represents shading only and the color gray is not claimed as a feature of the mark.  soap dispenser; shadow boxes; hampers; coolers (ice chests); clothes hampers; cases, eyeglass    stoppers, bottle; lids; corks (bottle stoppers); caps, bottle; bottle caps",
87682522,"03,07,26","32,107,112,615","32,102,032,124,071,100,000,000","the mark consists of a snake head inside of a rounded pentagon with road lines curving behind and slightly to the right. the left road line is solid and the right road line is dashed.  snakes; anacondas; boa constrictors; cobras; rattlesnakes; serpents; viper    stylized amphibians and reptiles, including frogs, snakes, lizards, and turtles    streets with lines or dividers; roads with lines or dividers; intersections (roads) with lines or dividers; highways with lines or dividers    polygons (plain, single line); plain single or multiple line polygons",
